VM,Datacenter,Cluster,Hard Disk,Datastore,VMConfigFile,VMDKpath
SIM-CLUSA-STORAGE,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] SIM-CLUSA-STORAGE/SIM-CLUSA-STORAGE.vmx,[SAN_Storage] SIM-CLUSA-STORAGE/SIM-CLUSA-STORAGE_3.vmdk
SIMON-N1,AltaroProduction,Cluster,Hard disk 1,16.120 Main Datastore,[16.120 Main Datastore] ACAMILLERI-1/ACAMILLERI-1.vmx,[16.120 Main Datastore] ACAMILLERI-1/ACAMILLERI-1.vmdk
SIMON-N1,AltaroProduction,Cluster,Hard disk 2,16.120 Main Datastore,[16.120 Main Datastore] ACAMILLERI-1/ACAMILLERI-1.vmx,[16.120 Main Datastore] ACAMILLERI-1/ACAMILLERI-1_1.vmdk
StephenCB - Product test,AltaroProduction,Cluster,Hard disk 1,16.120 Main Datastore,[16.120 Main Datastore] Win 2012 R2 %2f Datacenter w HV Role/Win 2012 R2 %2f Datacenter w HV Role.vmx,[16.120 Main Datastore] Win 2012 R2 %2f Datacenter w HV Role/Win 2012 R2 %2f Datacenter w HV Role.vmdk
sup esx 5.5 16.108,AltaroProduction,Cluster,Hard disk 1,16.120 Main Datastore,[16.120 Main Datastore] VMWare 5.5 (Support)/VMWare 5.5 (Support).vmx,[16.120 Main Datastore] VMWare 5.5 (Support)/VMWare 5.5 (Support).vmdk
sup esx 5.5 16.178,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] sup esx 5.5 16.178/sup esx 5.5 16.178.vmx,[SAN_Storage] sup esx 5.5 16.178/sup esx 5.5 16.178.vmdk
sup esx 5.5 16.179,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] sup esx 5.5 16.179/sup esx 5.5 16.179.vmx,[SAN_Storage] sup esx 5.5 16.179/sup esx 5.5 16.179.vmdk
Sup16-ea1,AltaroProduction,Cluster,Hard disk 1,FREENAS HDD1.5,[FREENAS HDD1.5] Sup16-ea1/Sup16-ea1.vmx,[FREENAS HDD1.5] Sup16-ea1/Sup16-ea1.vmdk
sup16-ic1,AltaroProduction,Cluster,Hard disk 1,QNAP953,[QNAP953] sup16-ic1/sup16-ic1.vmx,[QNAP953] sup16-ic1/sup16-ic1.vmdk
sup16-ic1,AltaroProduction,Cluster,Hard disk 2,QNAP953,[QNAP953] sup16-ic1/sup16-ic1.vmx,[QNAP953] sup16-ic1/sup16-ic1_1.vmdk
